,Country,Cloudiness,Humidity,Date,Latitude,Longitude,Max Temp,Wind Speed,City
142,RU,100,87,1616429421,63.9061,38.1404,-3.55,4.99,onega
143,CA,1,63,1616429423,62.456,-114.3525,-27.78,3.09,yellowknife
144,RU,41,84,1616429424,54.3,110.3,-3.48,2.77,kurumkan
145,MZ,12,81,1616429425,-24.7117,33.8828,22.97,3.84,manjacaze
146,ID,99,87,1616429427,-1.3959,120.7524,25.49,2.47,poso
147,US,90,93,1616429428,40.5982,-124.1573,7.78,3.09,fortuna
148,ID,90,88,1616429342,-8.6136,120.4721,17.67,0.73,ruteng
149,CA,75,45,1616429431,50.2001,-66.3821,6.0,3.09,sept-iles
150,EG,99,28,1616429222,29.9737,32.5263,29.31,6.64,suez
151,PT,40,72,1616429433,37.7167,-25.4333,16.0,4.12,vila franca do campo
152,PT,40,82,1616429435,38.7333,-27.0667,17.0,5.18,praia da vitoria
153,CA,1,76,1616429437,69.4541,-133.0374,-31.0,2.57,tuktoyaktuk
154,RU,100,73,1616429438,73.5069,80.5464,-22.65,0.96,dikson
155,BR,11,57,1616429440,-17.7125,-39.2481,29.8,3.2,caravelas
156,RU,56,96,1616429442,64.4803,76.6897,-17.11,4.38,purpe
157,HK,7,63,1616429256,22.2855,114.1577,18.33,0.45,victoria
158,KE,71,54,1616429444,1.0968,36.698,19.96,7.15,maralal
159,GL,90,85,1616429446,69.2167,-51.1,-14.0,5.66,ilulissat
160,NO,75,93,1616429447,69.2296,17.9811,-1.0,3.09,finnsnes
161,ES,50,38,1616429449,39.9635,-4.8308,17.78,1.32,talavera de la reina
162,ET,83,23,1616429450,10.7,37.0667,24.0,1.79,bure
163,AR,20,63,1616429159,-38.0023,-57.5575,19.0,2.06,mar del plata
164,US,20,60,1616429192,29.0339,-95.4344,22.22,9.26,lake jackson
165,RU,100,95,1616429454,65.8522,44.24,-7.26,2.99,mezen
166,BB,40,54,1616429455,13.2167,-59.5167,29.0,10.29,bathsheba
167,EG,91,17,1616429457,28.419,30.7792,32.89,4.24,matay
168,BR,75,88,1616429458,-12.7406,-60.1458,23.0,1.03,vilhena
169,CA,39,71,1616429460,60.7522,-137.5108,-18.0,0.51,haines junction
170,PG,71,75,1616429461,-2.0226,147.2712,28.25,1.81,lorengau
171,ZM,85,70,1616429463,-9.3451,28.734,23.79,1.03,nchelenge
172,CN,0,50,1616429464,33.4474,112.7142,8.38,2.96,yunyang
173,JP,75,87,1616429466,35.7333,140.8333,6.0,3.09,hasaki
174,CN,1,62,1616429351,47.8667,88.1167,-1.92,2.01,altay
175,US,90,87,1616429468,57.0531,-135.33,3.0,1.27,sitka
176,CD,97,74,1616429183,2.7388,23.7833,25.75,1.19,aketi
177,CN,7,78,1616429471,27.8964,102.2634,9.01,2.06,xichang
178,CA,75,46,1616429472,47.5999,-53.2648,9.0,9.26,bay roberts
179,MN,98,29,1616429474,45.7625,106.2708,1.71,5.05,mandalgovi
180,MX,1,49,1616429475,20.7,-105.2,23.0,1.3,ixtapa
181,AU,90,94,1616429477,-25.2406,130.9889,21.0,3.6,yulara
182,OM,0,26,1616429478,22.9333,57.5333,24.84,4.9,nizwa
183,RU,83,100,1616429481,66.3167,-179.1667,-27.12,0.58,egvekinot
184,RU,84,88,1616429482,50.3643,108.7512,-2.89,0.75,krasnyy chikoy
185,AI,40,65,1616429484,18.217,-63.0578,29.0,7.72,the valley
186,CN,0,45,1616429485,35.405,116.5814,8.14,4.46,jining
187,RU,100,84,1616429487,50.6789,156.125,-0.43,8.69,severo-kurilsk
188,NZ,100,97,1616429488,-46.1333,167.6833,11.67,0.45,tuatapere
189,ZA,60,50,1616429489,-25.863,26.8976,20.89,1.05,koster
190,MG,52,84,1616429491,-25.1667,45.05,24.62,2.37,beloha
191,NO,75,60,1616429492,69.8,20.9333,1.0,3.09,sorkjosen
192,TR,51,72,1616429422,39.6603,35.8836,9.87,6.36,akdagmadeni
193,TD,47,17,1616429495,9.4515,18.9449,39.0,1.78,kyabe
194,GF,100,93,1616429497,5.3833,-52.95,24.67,6.6,sinnamary
195,CV,0,72,1616429498,14.8961,-24.4956,21.81,5.38,sao filipe
196,MX,0,78,1616429500,31.7167,-116.5667,12.78,0.45,maneadero
